45.8.204.0/24,US,US-CA,Los Angeles,
160.250.13.0/24,JP,JP-13,Tokyo,
2a13:db01:1000::/36,US,US-CA,Los Angeles,
2400:56a0:900::/40,JP,JP-13,Tokyo,
